Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
64.8,65.45,63.92,64.63,999816,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-05-22
64.05,65.02,63.86,64.61,1369760,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-05-23
65.62,67.33,65.37,67.09,1619271,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-05-27
67.16,67.85,66.5,67.77,1392294,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-05-28
68.32,68.88,67.72,68.85,1643754,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-05-29
68.53,68.53,66.83,67.33,2502768,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-05-30
66.81,67.74,65.82,67.59,1110567,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-02
67.49,70.82,67.12,70.38,1838313,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-03
70.35,71.7,69.77,71.23,1886629,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-04
71.31,72.42,70.95,71.81,1314252,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-05
72.64,74.35,72.39,74.12,1741039,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-06
74.44,74.59,72.36,72.58,3455136,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-09
72.9,73.4,71.09,72.89,2044230,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-10
73.22,74.21,72.63,72.98,1693701,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-11
72.93,73.61,72.68,73.48,806085,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-12
72.86,73.55,71.5,72.1,1065743,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-13
72.77,73.61,72.08,72.82,2143335,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-16
73.21,73.22,71.53,71.74,1669042,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-17
71.78,72.41,71.46,71.71,1775269,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-18
71.89,72.69,71.34,71.47,3225831,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-20
72.57,72.57,69.03,70.99,2169535,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-23
71.37,71.85,69.73,70.34,2004740,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-24
69.37,69.51,66.57,66.64,2886904,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-25
67.25,67.89,66.74,67.76,2988909,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-26
68.32,69.23,67.88,68.6,1996949,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-27
67.76,67.96,66.67,67.47,1473071,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-06-30
66.93,69.9,66.5,68.12,1392874,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-01
68.01,68.5,67.46,68.27,1222220,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-02
67.92,69.21,67.92,68.83,774252,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-03
68.5,68.58,66.98,67.33,1560594,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-07
67.17,68.65,66.94,68.3,1149863,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-08
68.57,69.68,68.55,69.03,1479836,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-09
68.97,70.59,68.87,70.28,1400867,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-10
69.28,71.04,69.28,70.77,1490529,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-11
70.74,71.7,70.72,71.23,1605751,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-14
71.55,71.66,69.87,69.92,1042139,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-15
70.22,71.13,69.22,70.1,1654430,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-16
69.97,70.22,68.32,69.03,1366507,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-17
69.38,69.56,68.8,68.95,1369037,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-18
69.45,69.7,68.72,69.01,873918,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-21
69.4,71.26,69.16,71.12,848734,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-22
71.48,72.04,70.91,71.49,1055813,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-23
70.85,71.44,70.45,70.74,1175102,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-24
70.95,72.05,70.56,71.8,1540335,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-25
71.53,71.61,69.51,69.6,1287202,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-28
69.82,70.69,69.36,70.43,2059164,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-29
69.77,70.4,65.69,66.43,3158484,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-30
65.83,66.79,65.3,65.43,4179681,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-07-31
66.35,66.35,63.27,64.62,2711945,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-01
64.83,66.18,64.46,65.74,2056325,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-04
65.89,66.55,65.14,66.1,2195178,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-05
66.25,66.44,65.61,66.02,1537490,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-06
66.47,66.55,65.2,65.69,1255128,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-07
65.55,65.92,63.03,63.25,2107620,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-08
63.0,63.78,61.99,62.11,1535094,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-11
62.83,63.68,62.24,63.67,2294290,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-12
63.72,65.71,63.67,65.5,1183318,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-13
64.61,65.45,63.96,65.21,1105626,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-14
65.45,65.68,64.54,65.44,937218,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-15
65.66,65.95,64.96,65.16,1156022,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-18
65.6,66.9,65.44,66.87,1306462,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-19
67.0,67.2,66.06,66.43,1188487,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-20
65.85,66.52,65.62,66.42,1031030,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-21
66.63,69.86,66.56,69.37,1286898,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-22
69.15,69.98,68.74,69.68,1128441,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-25
69.64,70.23,69.09,69.48,2430086,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-26
69.48,71.2,69.35,71.05,1120602,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-27
71.29,71.82,70.34,71.67,1303762,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-28
71.58,72.65,71.5,72.51,1088049,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-08-29
71.52,72.61,71.18,72.4,1486008,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-02
72.17,73.9,72.08,73.78,1363978,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-03
74.21,75.61,73.89,75.29,2322187,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-04
76.04,77.42,75.68,76.83,2049917,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-05
75.0,76.11,73.32,75.79,3498775,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-08
75.0,75.0,72.01,72.4,3222929,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-09
71.19,74.33,71.19,73.87,2389085,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-10
73.96,76.6,73.64,76.23,1508323,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-11
76.27,77.92,76.04,77.18,2141897,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-12
77.69,77.94,76.28,77.81,2099906,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-15
77.95,79.22,77.66,78.93,2682944,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-16
78.94,79.33,76.34,76.43,1667689,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-17
76.46,78.18,76.24,77.75,1479997,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-18
78.03,78.23,76.11,76.44,6244849,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-19
75.63,76.39,75.03,75.64,1454009,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-22
76.05,77.27,75.87,76.19,1105253,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-23
75.25,76.24,74.85,75.46,2856419,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-24
74.8,75.49,73.74,75.36,5472226,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-25
75.36,75.54,74.01,74.82,2563256,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-26
75.53,75.66,74.31,75.37,1982756,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-29
74.85,75.2,73.02,74.34,2480928,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-09-30
74.99,76.37,74.01,76.32,1843999,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-01
76.37,76.37,74.74,75.61,1465692,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-02
76.13,76.36,75.38,75.61,1509917,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-03
75.4,75.94,74.52,74.61,1015817,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-06
74.9,75.02,73.57,73.77,2118664,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-07
73.88,73.95,72.84,73.03,2479304,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-08
73.04,73.1,71.26,71.45,1309936,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-09
71.68,71.86,69.41,69.49,1541847,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-10
70.43,70.81,69.78,70.1,1847652,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-13
69.58,70.59,69.44,70.53,2539940,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-14
70.68,72.64,70.53,71.73,2067355,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-15
71.8,72.09,70.0,70.39,2236964,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-16
70.67,71.37,70.11,71.06,1403923,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-17
71.31,71.84,70.63,70.67,905863,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-20
70.67,72.32,70.53,71.97,1938540,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-21
72.2,73.32,71.95,73.2,1505331,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-22
73.38,74.03,72.17,73.73,1333928,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-23
74.33,74.96,73.96,74.18,1350268,0.0,0.0,BXP,"BXP, Inc.",Real Estate,Office REITs,2025-10-24
73.9,74.66,73.51,74.53,1586000,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-10-27
74.75,74.77,73.44,74.09,1913100,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-10-28
73.05,73.87,69.98,70.36,3187100,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-10-29
70.83,71.75,69.75,70.43,2219200,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-10-30
70.14,71.46,69.83,71.19,2345100,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-10-31
70.26,70.87,69.43,70.61,1369000,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-03
69.88,70.86,69.5,69.73,1702200,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-04
69.72,69.8,68.01,69.37,1547500,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-05
70.33,70.76,68.97,70.1,1681300,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-06
70.19,72.54,70.1,72.36,1903500,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-07
72.36,72.38,71.01,71.61,1307300,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-10
72.01,72.86,71.6,72.42,1875700,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-11
72.14,73.03,71.65,71.65,1535600,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-12
71.48,72.15,70.65,70.8,1392660,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-13
70.52,71.11,70.04,70.64,1059435,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-14
70.54,70.76,68.71,69.11,1064340,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-17
69.23,69.48,68.46,69.13,1117259,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-18
69.29,69.675,68.56,69.38,976738,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-19
69.98,70.9,68.63,68.66,1135377,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-20
68.86,70.45,68.805,70.04,1252895,0.0,0.0,BXP,"BXP, Inc.",Real Estate,REIT - Office,2025-11-21
