Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
60.55,61.6,59.23,60.83,6220506,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-09
60.7,60.88,59.83,60.76,2772554,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-10
61.12,62.47,61.0,61.79,5658750,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-11
61.07,61.86,60.64,61.44,3480274,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-12
60.09,60.84,59.46,59.84,2960065,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-13
60.67,61.65,60.26,61.27,2627997,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-16
60.53,61.02,60.01,60.28,2862768,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-17
60.18,61.99,60.18,61.45,2491137,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-18
61.98,62.6,61.55,62.34,8719245,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-20
61.82,63.32,61.48,63.25,3560039,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-23
64.22,65.12,63.94,64.74,2723903,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-24
64.96,65.43,64.7,64.93,2667981,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-25
65.1,65.96,65.1,65.83,2210780,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-26
66.0,66.68,65.56,66.19,3960706,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-27
66.72,67.04,66.28,66.74,3572701,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-06-30
66.8,68.67,66.43,68.17,3797332,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-01
68.48,69.6,68.23,69.47,3699682,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-02
69.73,70.56,69.23,70.16,2265856,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-03
69.89,70.38,68.83,69.7,2935515,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-07
70.67,70.67,69.29,69.29,3515296,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-08
70.01,70.4,69.51,70.16,3347937,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-09
70.19,71.88,70.08,71.14,3244114,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-10
70.59,70.98,70.1,70.61,2911582,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-11
70.82,71.06,70.28,70.88,2559774,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-14
70.61,70.8,68.52,68.56,2569163,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-15
69.02,69.52,67.84,69.3,2503196,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-16
69.15,70.4,69.15,70.19,2353587,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-17
70.49,70.7,69.22,70.04,3230906,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-18
70.35,70.68,69.19,69.44,4300222,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-21
68.78,71.28,68.19,70.66,5725472,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-22
71.78,72.73,70.57,72.08,4878639,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-23
72.0,72.69,71.46,71.81,4843728,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-24
72.16,73.42,71.56,72.9,3270932,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-25
73.04,73.3,72.54,72.87,2800997,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-28
73.59,73.76,71.0,71.3,3947234,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-29
71.56,71.74,69.7,70.26,3586087,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-30
70.19,71.07,69.45,69.67,3483026,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-07-31
67.58,67.9,66.28,67.53,5023697,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-01
67.95,69.4,67.73,69.25,3862718,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-04
69.36,70.21,68.52,69.99,3712334,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-05
70.07,70.12,69.22,69.45,3603648,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-06
70.16,70.27,68.29,68.45,3466986,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-07
69.16,69.82,68.57,69.43,2890415,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-08
69.51,69.89,68.96,69.6,3765249,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-11
70.0,72.41,69.87,72.36,4516576,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-12
72.56,72.83,71.72,72.59,2760246,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-13
72.15,72.92,71.57,72.83,2589838,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-14
72.97,73.0,71.22,71.49,2841781,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-15
71.26,71.88,70.91,71.79,2021645,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-18
71.57,72.54,71.34,71.59,1919558,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-19
71.27,71.89,69.93,71.58,2843885,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-20
71.18,71.49,70.53,71.23,2161388,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-21
71.79,74.11,71.61,73.2,3104524,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-22
73.0,74.19,72.86,74.0,2960003,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-25
73.8,75.57,73.59,75.34,4220891,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-26
75.14,76.15,75.14,75.76,2967263,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-27
76.04,76.74,75.86,76.58,2369479,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-28
76.83,77.15,75.81,76.34,2404317,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-08-29
74.98,75.64,73.86,75.62,3265007,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-02
75.25,76.0,74.74,75.49,1966823,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-03
75.9,77.08,75.5,76.86,2521020,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-04
77.01,77.41,74.96,75.61,2149080,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-05
75.78,76.0,74.53,75.14,2289395,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-08
75.01,76.28,74.84,76.07,2150043,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-09
76.0,76.63,73.9,74.74,5275381,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-10
74.81,76.22,74.39,76.01,3164985,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-11
75.89,76.01,75.25,75.37,1954382,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-12
75.56,77.06,75.37,76.28,2661477,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-15
76.07,76.16,73.71,74.53,4072920,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-16
74.77,76.6,73.86,74.82,4332799,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-17
75.48,76.81,75.08,76.53,2560815,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-18
76.73,77.19,76.2,76.59,8186427,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-19
75.62,76.06,75.1,75.58,3205181,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-22
75.75,76.7,74.51,74.74,2459945,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-23
75.25,75.5,73.87,74.63,2587737,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-24
73.54,74.4,72.98,74.28,1910868,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-25
74.71,75.09,73.94,74.54,1744745,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-26
75.22,75.27,72.5,73.32,3016717,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-29
73.68,73.82,69.28,71.05,5214768,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-09-30
71.09,71.54,69.75,69.84,3233821,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-01
69.96,70.77,69.08,70.28,3753595,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-02
70.65,71.92,70.37,71.23,3305883,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-03
71.85,72.34,70.0,71.38,3271453,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-06
70.69,71.47,69.82,70.9,3030181,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-07
71.4,72.16,70.16,70.97,4060707,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-08
71.41,72.12,70.78,70.99,2828096,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-09
72.12,72.12,68.0,68.02,4454879,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-10
69.1,70.29,69.02,70.14,2905863,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-13
69.29,73.64,69.15,72.84,5619870,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-14
73.45,75.04,70.69,72.32,6225445,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-15
72.23,72.59,69.74,70.25,5551937,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-16
70.61,72.88,70.46,71.51,4670712,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-17
72.0,72.51,71.46,72.26,3207910,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-20
72.15,74.21,72.05,74.0,2403828,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-21
74.0,74.81,72.53,73.01,2696346,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-22
73.32,73.98,72.72,73.24,2363008,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-23
74.16,75.7,74.14,74.84,2341993,0.0,0.0,SYF,Synchrony Financial,Financials,Consumer Finance,2025-10-24
75.29,75.41,74.38,74.65,5008800,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-10-27
74.69,74.77,73.95,74.41,2322100,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-10-28
73.81,74.53,72.61,72.91,3200300,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-10-29
72.77,74.5,72.7,73.29,2571300,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-10-30
73.23,74.68,72.95,74.08,2986800,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-10-31
73.72,74.46,73.22,73.71,3684800,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-11-03
72.9,74.09,72.8,73.0,3353800,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-11-04
72.91,75.09,71.85,74.37,3501300,0.3,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-11-05
74.47,75.24,73.08,73.55,3940500,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-11-06
73.06,73.61,72.05,73.19,3710600,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-11-07
73.7,74.79,73.31,74.7,3135000,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-11-10
74.58,75.03,73.89,74.42,2231100,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-11-11
74.3,76.11,74.3,75.49,2756400,0.0,0.0,SYF,Synchrony Financial,Financial Services,Credit Services,2025-11-12
