Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
210.59,213.28,210.18,212.7,832697,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-17
213.19,213.19,210.56,211.91,813745,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-18
212.59,212.61,209.76,209.88,721603,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-21
210.17,212.26,208.67,211.89,1042986,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-22
213.14,214.53,212.01,214.38,1194212,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-23
207.74,211.0,200.3,200.7,2333853,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-24
200.7,201.0,193.15,197.21,1993903,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-25
198.79,199.2,195.41,197.01,1354829,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-28
199.0,199.0,191.71,192.78,2432481,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-29
193.7,193.7,189.34,190.64,2763070,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-30
190.64,192.77,188.99,192.05,1941490,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-07-31
188.52,189.28,185.64,186.89,1235416,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-01
187.71,188.02,186.05,186.99,1468624,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-04
188.14,189.62,187.44,188.89,1863631,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-05
189.38,190.4,187.57,188.35,1263908,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-06
190.12,190.12,187.14,187.91,1260495,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-07
188.82,192.49,188.25,191.42,1777665,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-08
192.11,193.24,190.08,191.91,1475723,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-11
193.03,194.55,192.54,192.91,891055,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-12
193.41,195.18,193.3,194.4,1063041,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-13
192.7,192.93,189.03,190.97,842845,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-14
191.59,191.59,188.82,189.16,763130,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-15
189.56,190.55,188.72,189.81,927248,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-18
190.51,193.72,190.19,192.68,730874,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-19
192.1,194.06,190.65,192.85,811543,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-20
191.97,192.83,191.08,191.41,557889,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-21
192.93,197.82,191.52,195.74,853079,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-22
195.86,196.5,193.18,193.31,672438,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-25
193.04,195.59,192.54,195.34,1188394,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-26
194.52,196.4,193.5,195.32,872628,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-27
196.54,196.54,194.23,195.18,876502,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-28
195.01,196.03,192.17,193.5,877407,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-08-29
190.51,192.72,189.0,192.62,812858,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-02
192.6,193.86,190.37,191.25,686978,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-03
191.81,193.78,190.0,193.78,1403660,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-04
194.54,195.65,191.47,193.18,1355924,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-05
193.7,194.01,189.37,190.93,1339908,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-08
190.77,190.77,188.36,190.06,1230164,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-09
190.63,192.74,188.75,189.59,878926,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-10
190.13,192.36,189.07,192.18,1463665,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-11
191.04,191.55,188.47,188.82,821478,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-12
189.63,191.48,188.29,188.34,757106,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-15
188.67,189.04,186.66,187.65,1083203,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-16
187.68,189.15,184.26,185.65,1209765,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-17
186.74,190.81,185.95,190.37,1004303,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-18
190.75,191.24,188.19,188.7,1284617,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-19
188.84,201.94,188.2,197.96,2312458,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-22
198.44,199.61,193.92,194.51,1214197,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-23
194.94,195.71,191.94,192.31,961997,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-24
191.86,194.88,190.47,194.52,936382,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-25
195.58,198.2,194.85,196.67,963041,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-26
197.6,198.13,196.31,197.58,1022392,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-29
197.23,201.04,197.23,200.47,1277688,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-09-30
199.04,201.66,197.7,198.56,897243,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-01
199.29,201.46,197.43,197.87,1444595,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-02
198.67,201.89,198.53,200.08,714861,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-03
201.06,202.89,198.32,201.28,1066992,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-06
201.65,201.97,197.5,197.8,690537,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-07
198.72,200.36,196.76,199.47,665151,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-08
199.73,200.48,195.33,195.62,747770,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-09
196.13,198.46,190.82,191.03,1057872,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-10
194.22,194.59,191.81,193.54,652206,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-13
191.69,196.54,191.28,196.0,566120,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-14
197.13,198.92,195.1,197.13,768351,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-15
198.64,199.26,193.52,193.61,688914,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-16
193.11,194.76,192.46,194.15,819945,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-17
195.94,197.23,195.11,196.12,720988,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-20
195.57,198.57,195.57,198.0,755237,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-21
193.87,198.22,186.06,193.43,1758610,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-22
194.09,197.84,193.86,196.95,881709,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-23
198.11,199.26,196.34,197.63,736577,0.0,0.0,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,2025-10-24
198.05,200.28,196.67,200.1,998500,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-10-27
199.2,201.66,197.61,197.75,719100,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-10-28
197.51,203.39,197.36,201.31,1225200,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-10-29
199.22,205.75,198.3,202.9,1039100,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-10-30
201.82,205.97,201.82,204.19,1051500,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-10-31
203.1,204.88,200.49,204.67,1246900,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-11-03
201.99,204.55,200.79,204.21,1076900,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-11-04
203.76,207.58,202.76,205.77,825100,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-11-05
204.24,206.72,202.35,203.53,920300,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-11-06
202.92,206.23,201.31,206.06,957800,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-11-07
206.06,210.4,204.91,209.75,1273400,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-11-10
208.93,210.23,205.48,207.69,1041400,0.0,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-11-11
208.38,211.43,207.91,209.65,642900,0.25,0.0,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,2025-11-12
